id,title,category,energy,fat,fatsat,fattrans,carbs,fiber,sugar,protein,cholesterol,sodium,calcium,iron,vitc,sugaradded,potassium,famu,fapu,magnesium,zinc,phosphorus,vita,thiamin,riboflavin,niacin,vitb6a,folate,folatefood,folac,vitb12,vitd,vite,vitk1,water,sugaralc,measures,density,healthLabels,cautionLabels
01o0nphb,Raspberry Jello,genericMeals,74.553,1.675,1.01,0.0,14.506,1.964,11.588,1.571,1.186,18.507,12.899,0.311,8.931,6.403,84.506,0.272,0.212,9.013,0.233,15.788,4.589,0.018,0.04,0.206,0.025,7.135,7.135,0.0,0.003,0.006,0.271,2.245,82.088,,"{""oneMedium"":164.31,""serving"":164.31,""ml"":1.0}",1.0,37744353,9
02fegkcb,Daniele Capocollo Hot,packagedFoods,282.192,21.164,7.055,0.0,0.0,0.0,0.0,24.692,88.185,1798.972,,1.27,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":28.35,""package"":85.05}",null,239063025,0
02o43wkb,Pepperoni Omelet,genericMeals,149.561,9.915,4.375,0.22,6.245,0.933,1.438,8.664,119.141,269.118,102.629,0.89,7.574,,225.036,3.362,0.948,16.481,1.002,140.807,81.139,0.072,0.204,0.76,0.173,22.772,23.007,0.002,0.499,0.648,0.44,2.869,73.766,,"{""oneMedium"":328.11,""serving"":328.11,""ml"":1.0}",1.0,109039201,0
02si5cca,Herb Rice,genericMeals,119.008,1.549,0.527,0.028,23.72,1.206,0.573,2.358,1.73,183.35,13.155,0.682,10.08,,229.102,0.686,0.248,18.897,0.386,50.14,32.002,0.065,0.029,0.922,0.174,18.887,11.3,4.439,0.003,0.012,0.177,11.483,71.24,,"{""oneMedium"":326.28,""serving"":326.28,""ml"":1.0}",1.0,106954464,8
02yymobb,Seafood Lasagne,genericMeals,140.635,5.873,2.959,0.055,10.528,0.611,1.806,10.822,54.068,263.816,103.801,0.541,3.211,0.222,171.841,1.754,0.573,22.374,0.848,178.15,68.904,0.066,0.101,1.559,0.133,21.847,17.192,2.736,0.911,0.589,0.734,5.275,71.394,,"{""oneMedium"":439.67,""serving"":439.67,""ml"":1.0}",1.0,101167617,1540
03dpnr4b,Pea-camole,genericMeals,106.643,7.719,1.114,,9.509,5.092,2.187,2.431,0.0,202.112,19.97,0.799,28.745,,357.214,5.089,0.996,25.738,0.625,56.106,22.187,0.1,0.102,1.441,0.194,57.649,57.649,0.0,0.0,0.0,1.209,17.537,78.715,,"{""oneMedium"":231.46,""serving"":231.46,""ml"":1.0}",1.0,654311423,0
03kih1ub,Leek Soup,genericMeals,67.638,3.792,1.867,0.057,5.944,0.67,1.612,2.699,10.634,198.205,29.429,0.713,4.017,,147.293,1.304,0.349,12.11,0.255,40.592,40.43,0.041,0.061,1.058,0.114,17.813,17.741,0.042,0.056,0.052,0.317,12.374,86.526,,"{""ml"":1.0}",1.0,102751969,8
03ll028a,mint tea,genericFoods,1.0,0.0,0.002,,0.2,0.0,0.0,0.0,0.0,1.0,2.0,0.08,0.0,,9.0,0.001,0.005,1.0,0.04,0.0,0.0,0.01,0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,99.7,,"{""oneMedium"":2.0,""serving"":3.0,""bag"":2.5,""cup"":237.0,""floz"":29.6}",1.022,536870911,2
03m22xdb,smoked beef bratwurst,genericFoods,297.0,26.34,6.08,,2.0,0.0,0.0,12.2,78.0,848.0,7.0,1.0,0.0,,283.0,8.0,1.58,15.0,2.47,130.0,0.0,0.38,0.213,3.11,0.2,4.0,4.0,0.0,2.67,,,,56.65,,"{""oneMedium"":66.0,""serving"":66.0}",null,511692785,2
03n0divb,lasagna,genericFoods,124.0,4.42,2.067,0.18,14.39,1.4,2.96,6.63,14.0,347.0,73.0,0.65,4.1,,184.0,1.6,0.358,18.0,0.79,102.0,37.0,0.052,0.05,1.426,0.124,22.0,3.0,11.0,0.74,0.0,0.87,5.9,73.1,,"{""serving"":297.0,""piece"":134.0}",null,106946177,0
03oijb5b,Sauerkraut Relish,genericMeals,88.422,2.583,0.21,0.01,16.097,1.889,13.954,0.733,0.0,345.572,22.582,0.858,17.921,12.316,133.56,1.571,0.74,9.915,0.147,18.046,10.821,0.023,0.025,0.175,0.103,16.699,16.699,0.0,0.0,0.0,0.6,10.251,78.756,,"{""oneMedium"":213.29,""serving"":213.29,""ml"":1.0}",1.0,111050750,0
03okeafb,Egg Cutlet,genericMeals,188.234,13.303,1.691,0.058,13.202,1.733,2.401,4.752,69.217,231.72,45.33,1.327,21.554,,247.31,7.854,3.261,18.561,0.547,81.687,45.629,0.15,0.143,1.047,0.213,32.66,23.162,5.601,0.226,0.388,2.246,17.269,67.398,,"{""oneMedium"":191.69,""serving"":191.69,""ml"":1.0}",1.0,111148829,0
03okpk8b,Rosé Spritzer,genericMeals,50.448,0.049,0.009,0.0,4.286,0.409,2.777,0.228,0.0,6.233,11.337,0.228,8.874,,64.599,0.004,0.015,7.594,0.088,10.084,1.448,0.011,0.013,0.109,0.033,2.918,2.918,0.0,0.0,0.0,0.034,0.205,90.389,,"{""oneMedium"":227.23,""serving"":227.23,""ml"":1.0}",1.0,128974847,0
03rb8ita,Wheat Noodles,fastFoods,92.989,0.423,0.0,,18.598,0.845,0.0,3.381,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":118.29,""cup"":236.59}",1.0,150994944,0
03xt9oeb,Spicy Slaw,genericMeals,94.11,7.13,1.043,0.001,7.492,2.442,3.491,1.132,2.234,195.767,30.109,0.628,26.942,0.681,186.805,2.897,3.057,14.149,0.217,28.755,66.354,0.044,0.042,0.397,0.112,18.53,19.159,0.001,0.0,0.0,0.694,31.969,81.966,,"{""oneMedium"":154.87,""serving"":154.87,""ml"":1.0}",1.0,111083133,78
03zaz35a,"Gizzards, Large",fastFoods,286.601,16.755,2.425,0.0,18.96,0.0,0.0,18.96,213.848,619.499,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":453.59}",null,134217728,0
042zm3ga,Mackerel Escabeche,genericMeals,185.222,14.03,2.532,0.0,3.278,0.76,1.189,9.51,32.743,149.62,20.258,1.168,7.571,,229.789,7.99,2.453,40.605,0.391,115.452,69.838,0.094,0.155,4.304,0.237,8.522,8.522,0.0,3.853,7.13,2.073,18.425,69.567,,"{""oneMedium"":199.47,""serving"":199.47,""ml"":1.0}",1.0,110099353,50
04829kgb,cashew nut,genericFoods,553.0,43.85,7.783,,30.19,3.3,5.91,18.22,0.0,12.0,37.0,6.68,0.5,,660.0,23.797,7.845,292.0,5.78,593.0,0.0,0.423,0.058,1.062,0.417,25.0,25.0,0.0,0.0,0.0,0.9,34.1,5.2,,"{""oneMedium"":3.0,""serving"":29.0,""handful"":17.5,""cup"":140.0}",0.592,855638015,0
04851vua,"Rosemary, fresh",genericFoods,131.0,5.86,2.838,,20.7,14.1,,3.31,0.0,26.0,317.0,6.65,21.8,,668.0,1.16,0.901,91.0,0.93,66.0,146.0,0.036,0.152,0.912,0.336,109.0,109.0,0.0,0.0,0.0,,,67.77,,"{""tsp"":0.7,""tbsp"":1.7,""oneMedium"":5.0,""bunch"":15.0,""stick"":5.0,""serving"":2.0}",0.128,1056964607,0
048d4oxa,Cottage Meatloaf,genericMeals,174.811,8.822,3.279,0.425,11.287,0.547,5.053,12.334,62.149,271.709,32.551,1.944,7.41,0.845,268.19,3.703,0.536,18.449,2.708,128.024,21.235,0.103,0.174,3.298,0.25,20.791,12.785,4.723,1.261,0.189,0.452,5.258,66.228,,"{""oneMedium"":296.38,""serving"":296.38,""ml"":1.0}",1.0,111074065,512
04ag32kb,Kalamata Hummus,genericMeals,249.988,12.353,1.58,0.0,27.719,6.928,4.434,9.64,0.0,204.024,87.576,2.771,4.055,,271.068,5.716,3.86,40.625,1.397,171.529,3.22,0.243,0.103,0.97,0.201,152.803,152.803,0.0,0.0,0.0,0.979,5.759,48.479,,"{""oneMedium"":122.06,""serving"":122.06,""ml"":1.0}",1.0,115212286,0
04cpnd3b,Barilla Farfalle,packagedFoods,357.143,1.786,0.0,0.0,75.0,3.571,3.571,12.5,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,"{""serving"":56.0,""box"":448.0,""package"":448.0}",null,117440404,0
04gop85a,Mucke's Liverwurst,packagedFoods,299.829,26.455,8.818,0.0,1.764,0.0,0.0,14.11,167.551,934.76,,9.524,10.582,,,,,,,,,,,,,,,,,,,,,,"{""serving"":56.7}",null,238997489,64
04oervca,Chana Masala,genericMeals,112.179,3.421,0.702,0.012,16.875,4.098,3.614,4.796,0.778,192.229,38.667,1.462,9.392,0.027,238.026,1.31,0.934,26.692,0.663,73.697,18.601,0.161,0.054,0.596,0.183,80.254,79.697,0.359,0.005,0.008,0.671,6.797,73.709,,"{""ml"":1.0}",1.0,115343085,8
04rqxwgb,Brain Cupcakes,genericMeals,324.786,14.175,8.481,0.481,44.241,0.531,34.509,6.485,55.035,129.705,38.236,0.919,0.055,34.192,49.424,3.806,0.752,7.814,0.244,53.475,109.736,0.092,0.112,0.722,0.02,34.029,9.206,14.586,0.103,0.352,0.519,1.654,34.177,,"{""oneMedium"":109.13,""serving"":109.13}",null,102755840,0
04wrfy3b,Bbq Meatloaf,genericMeals,179.013,9.513,3.547,0.43,12.244,1.195,6.216,11.183,48.94,361.321,42.134,1.783,5.386,0.965,340.956,3.942,0.674,21.991,2.284,125.745,29.544,0.099,0.157,3.088,0.252,17.784,11.644,3.746,1.018,0.172,0.812,3.699,65.416,,"{""oneMedium"":225.28,""serving"":225.28,""ml"":1.0}",1.0,111073793,574
04xb7zpa,Apple Frangipane Tart,genericMeals,267.69,15.647,6.769,0.288,28.968,2.116,15.859,3.893,54.076,61.981,33.282,0.818,1.842,10.118,123.559,5.543,1.455,19.88,0.389,70.364,90.122,0.088,0.151,0.804,0.045,30.111,11.71,11.156,0.105,0.366,1.689,2.55,50.642,,"{""slice"":149.23,""ml"":1.0}",1.0,44039692,6
05cjvtga,Yuzu Kosho,genericMeals,35.937,0.26,0.037,,10.589,4.38,3.777,1.183,0.0,273.634,51.698,0.615,87.802,0.182,174.164,0.012,0.091,12.703,0.154,18.473,41.252,0.051,0.047,0.427,0.175,12.967,12.967,0.0,0.0,0.0,0.306,3.126,86.909,,"{""oneMedium"":160.57,""serving"":160.57,""ml"":1.0}",1.0,130023423,66
05f6rmgb,canned prunes,genericFoods,105.0,0.2,0.016,,27.8,3.8,,0.87,0.0,3.0,17.0,0.41,2.8,,226.0,0.13,0.043,15.0,0.19,26.0,40.0,0.034,0.122,0.866,0.203,0.0,0.0,0.0,0.0,0.0,,,70.67,,"{""oneMedium"":17.2,""serving"":57.0,""can"":438.75,""cup"":234.0}",0.989,264241150,2
05n3rjxb,Asparagus Gratin,genericMeals,88.57,6.305,3.531,0.084,4.356,1.363,1.602,4.519,22.395,230.453,99.117,1.408,3.631,,151.369,1.924,0.423,13.651,0.651,90.322,70.319,0.106,0.138,0.756,0.074,34.586,32.669,1.129,0.152,0.191,0.842,26.634,83.588,,"{""oneMedium"":304.29,""serving"":304.29,""ml"":1.0}",1.0,111148685,48
05o34ftb,cake flour,genericFoods,362.0,0.86,0.127,,78.03,1.7,0.31,8.2,0.0,2.0,14.0,7.32,0.0,,105.0,0.073,0.379,16.0,0.62,85.0,0.0,0.892,0.43,6.79,0.033,282.0,47.0,138.0,0.0,0.0,0.02,0.3,12.51,,"{""tsp"":2.85,""tbsp"":8.56,""cup"":137.0}",0.579,134217630,0
05t0ndob,Grated Parmesan,fastFoods,500.0,30.0,20.0,0.0,20.0,0.0,0.0,20.0,100.0,1800.0,120.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"{""serving"":5.0}",null,134217729,0
05z91xsb,"Apricots, raw",genericFoods,48.0,0.39,0.027,,11.12,2.0,9.24,1.4,0.0,1.0,13.0,0.39,10.0,,259.0,0.17,0.077,10.0,0.2,23.0,96.0,0.03,0.04,0.6,0.054,9.0,9.0,0.0,0.0,0.0,0.89,3.3,86.35,,"{""oneMedium"":35.0,""cup"":155.0,""serving"":35.0}",0.655,939524095,2
05zv0x6b,breadfruit,genericFoods,103.0,0.23,0.048,,27.12,4.9,11.0,1.07,0.0,2.0,17.0,0.54,29.0,,490.0,0.034,0.066,25.0,0.12,30.0,0.0,0.11,0.03,0.9,0.1,14.0,14.0,0.0,0.0,0.0,0.1,0.5,70.65,,"{""oneMedium"":512.0,""oneSmall"":384.0,""serving"":220.0,""cup"":220.0}",0.93,939524094,2
0640fa5b,Italian Blend,packagedFoods,42.494,0.0,0.0,,7.285,2.428,2.428,2.428,0.0,48.565,,,7.285,,,,,,,,,,,,,,,,,,,,,,"{""serving"":82.36,""package"":453.0}",null,668991487,0
06llyghb,perch,genericFoods,91.0,0.92,0.185,,0.0,0.0,0.0,19.39,90.0,62.0,80.0,0.9,1.7,,269.0,0.152,0.368,30.0,1.11,200.0,9.0,0.07,0.1,1.52,0.12,5.0,5.0,0.0,1.9,3.0,0.2,0.1,79.13,,"{""oneMedium"":60.0}",null,1065352185,0
06uw3fma,Beaten Biscuits,genericMeals,342.729,14.602,4.553,1.408,45.643,1.538,2.333,6.527,8.325,216.164,50.299,2.45,0.026,1.184,88.877,5.622,3.443,14.775,0.479,103.778,23.324,0.411,0.286,3.062,0.033,148.688,17.339,77.205,0.087,0.281,0.833,5.993,32.16,,{},null,102747264,258
070fs0ga,popcorn cake,genericFoods,384.0,3.1,0.48,,80.1,2.9,0.72,9.7,0.0,288.0,9.0,1.87,0.0,,327.0,0.92,1.35,159.0,3.99,277.0,4.0,0.075,0.178,6.006,0.181,18.0,18.0,0.0,0.0,0.0,0.29,1.1,5.0,,"{""oneMedium"":10.0,""serving"":20.0}",null,111149054,50
073ud22b,Chopped Salad,genericMeals,112.074,7.629,1.838,0.027,7.239,2.164,2.36,4.627,12.68,171.336,53.531,0.916,13.83,0.184,239.528,3.944,1.336,20.972,0.593,75.11,121.997,0.089,0.094,1.264,0.144,54.38,54.165,0.165,0.102,0.06,1.065,38.424,79.159,,"{""ml"":1.0}",1.0,102649569,72
073wjdfb,duck confit,genericFoods,337.0,28.35,9.67,,0.0,0.0,0.0,18.99,84.0,59.0,11.0,2.7,0.0,,204.0,12.9,3.65,16.0,1.86,156.0,63.0,0.174,0.269,4.825,0.18,6.0,6.0,0.0,0.3,0.1,0.7,5.1,51.84,,"{""oneMedium"":764.0,""serving"":140.0,""cup"":140.0}",0.592,1056956401,0
077etgba,"BONAVITA, PEPPERONCINI",packagedFoods,36.0,0.0,,,7.14,3.6,,0.0,,1464.0,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":28.35,""piece"":18.9,""package"":453.59,""ml"":0.96}",0.96,264241151,0
07fps0ta,Creme Horn,fastFoods,409.836,22.951,11.475,0.0,45.902,0.0,26.23,3.279,0.0,32.787,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,{},null,0,0
07j79o9b,"Tantillo Paccheri , 1.0 lb",packagedFoods,352.74,0.0,0.0,0.0,72.312,3.527,3.527,12.346,0.0,1.764,35.274,1.905,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":56.7,""package"":453.59,""cup"":56.7}",0.24,134217630,0
07ss0jfb,Grits Pie,genericMeals,297.442,17.243,9.079,0.425,32.571,0.614,17.344,3.523,88.965,154.556,23.589,0.712,0.069,16.856,60.095,5.389,1.418,6.835,0.341,57.704,114.706,0.09,0.126,0.538,0.046,31.623,12.091,11.569,0.183,0.521,0.495,0.956,45.874,,"{""oneMedium"":103.62,""serving"":103.62,""ml"":1.0}",1.0,111148556,0
07vcdw4a,chardonnay,genericFoods,84.0,0.0,,,2.16,0.0,0.96,0.07,,5.0,9.0,0.27,0.0,,71.0,,,10.0,0.12,18.0,,0.005,0.015,0.108,0.05,,1.0,,0.0,,,,86.85,,"{""oneMedium"":147.0,""serving"":147.0,""floz"":29.3}",1.031,925892601,0
080b5nqb,shallots,genericFoods,72.0,0.1,0.017,,16.8,3.2,7.87,2.5,0.0,12.0,37.0,1.2,8.0,,334.0,0.014,0.039,21.0,0.4,60.0,0.0,0.06,0.02,0.2,0.345,34.0,34.0,0.0,0.0,0.0,0.04,0.8,79.8,,"{""oneMedium"":59.11,""oneSmall"":40.0,""oneLarge"":80.0,""serving"":10.0,""tbsp"":10.0}",0.676,939524095,0
08asnaoa,Tandoori Prawns,genericMeals,81.749,4.345,1.088,0.033,6.536,0.913,2.268,5.529,44.419,265.378,43.827,0.686,20.036,0.147,155.088,2.123,0.782,16.6,0.498,103.527,41.57,0.031,0.041,0.796,0.124,18.574,18.574,0.0,0.396,0.058,1.274,3.038,82.597,,"{""oneMedium"":204.02,""serving"":204.02,""ml"":1.0}",1.0,106936041,8
08h3pqxb,Ginger-lime Swordfish,genericMeals,151.863,6.878,1.359,0.047,6.988,0.241,5.323,15.293,50.369,198.296,8.981,0.533,3.773,5.074,354.198,3.505,1.226,25.926,0.572,200.583,28.287,0.062,0.05,6.047,0.433,3.888,3.888,0.0,1.297,10.608,1.885,2.263,70.082,,"{""oneMedium"":247.65,""serving"":247.65,""ml"":1.0}",1.0,111147417,306
08qmrb6b,Pagasa Mostaccioli,packagedFoods,370.377,1.764,0.0,0.0,72.312,1.764,3.527,12.346,0.0,44.092,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,"{""serving"":56.7,""package"":453.59}",null,117440414,0
08qwqiha,Chicharron Taco,fastFoods,253.333,12.0,4.0,0.0,21.333,,,12.0,,453.333,,,,,,,,,,,,,,,,,,,,,,,,,{},null,134217728,0
08r6ryob,Tesco Redcurrant Jelly 340G,packagedFoods,275.574,0.3,0.2,,66.7,,56.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":100.0}",null,939524094,0
08v0v1nb,Seafood Kebabs,genericMeals,81.662,3.556,0.97,0.019,5.647,0.786,1.721,7.376,32.335,160.169,24.489,0.565,14.337,,258.15,1.698,0.609,21.279,0.506,119.26,32.49,0.064,0.062,1.407,0.127,19.622,18.546,0.635,0.511,0.472,0.527,6.37,82.456,,"{""oneMedium"":278.94,""serving"":278.94,""ml"":1.0}",1.0,106411001,1602
08ywlb5b,Mutton Haleem,genericMeals,229.512,18.681,9.892,0.005,10.445,1.957,1.765,6.195,47.368,216.829,29.564,1.219,5.511,,192.859,6.313,1.364,22.556,1.19,91.324,117.385,0.097,0.107,1.997,0.118,37.742,37.742,0.0,0.513,0.283,0.851,5.889,63.546,,"{""oneMedium"":235.19,""serving"":235.19,""ml"":1.0}",1.0,104849025,26
095fy50a,Cabbage Jambalaya,genericMeals,111.546,6.655,2.223,0.19,6.849,1.144,1.583,6.189,22.221,173.442,23.693,0.744,12.647,,185.569,2.735,0.818,12.964,1.118,65.57,9.24,0.12,0.076,1.774,0.15,18.872,18.872,0.0,0.47,0.209,0.274,25.154,79.345,,"{""oneMedium"":383.81,""serving"":383.81,""ml"":1.0}",1.0,109006833,0
096fjc0b,Beef Carnitas,genericMeals,113.601,4.876,1.786,0.14,3.127,0.531,0.966,14.348,42.62,179.987,21.703,1.779,8.604,0.096,306.323,2.427,0.447,19.993,3.791,158.424,13.617,0.072,0.141,3.437,0.414,7.339,6.513,0.489,1.586,0.038,0.403,3.097,76.35,,"{""oneMedium"":278.23,""serving"":278.23,""ml"":1.0}",1.0,102752241,2
09d2hmxb,fruit snack,genericFoods,341.0,0.0,,,80.9,,,4.4,,36.0,,,90.3,,,,,,,,,,,,,,,,,,,,14.7,,"{""oneMedium"":85.0,""serving"":85.0,""bag"":85.0,""package"":85.0,""packet"":85.0,""box"":21.0}",null,264241150,2
09l99pnb,boneless pork loin roast,genericFoods,166.0,8.33,1.598,0.05,0.0,0.0,0.0,21.34,64.0,47.0,7.0,0.53,0.0,,358.0,1.861,0.651,24.0,1.73,216.0,2.0,0.426,0.181,5.566,0.718,0.0,0.0,0.0,0.54,0.5,0.12,0.0,70.14,,"{""oneMedium"":2195.0}",null,1048563697,0
09mh8c9b,Pistachio Macarons,genericMeals,420.221,25.725,11.808,0.558,44.406,2.142,40.062,6.216,43.868,46.971,33.863,0.744,1.035,38.517,218.559,7.407,2.35,23.979,0.407,106.014,137.436,0.099,0.123,0.462,0.186,9.919,9.919,0.0,0.069,0.293,1.262,1.652,22.526,,"{""oneMedium"":66.53,""serving"":66.53}",null,44039788,0
09t7opja,Lard Biscuits,genericMeals,325.749,15.797,6.165,0.0,39.05,1.29,2.177,6.108,18.498,317.838,261.486,2.566,0.286,0.435,101.56,6.879,1.893,15.319,0.497,372.378,7.38,0.386,0.291,2.83,0.034,140.466,15.815,73.268,0.091,0.448,0.224,0.188,36.327,,"{""oneMedium"":64.22,""serving"":64.22,""ml"":1.0}",1.0,106942080,8
0a5mxvea,Kitchun No Grain Ola Holy Coco Cacao!,packagedFoods,253.605,20.288,5.072,0.0,,3.381,8.454,6.763,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"{""serving"":59.15,""package"":591.47,""cup"":236.59}",1.0,42860543,3
0a6iqx3b,Fish Chowder,genericMeals,85.638,3.72,1.62,0.048,6.468,0.785,1.651,6.506,19.213,170.741,31.878,0.498,6.097,0.002,243.653,1.325,0.462,17.243,0.346,90.009,35.311,0.059,0.066,1.25,0.156,12.09,12.088,0.152,0.53,0.882,0.335,4.701,81.122,,"{""oneMedium"":464.76,""serving"":464.76,""ml"":1.0}",1.0,102713985,58
0aaantza,Stuffed Turkey,genericMeals,154.951,7.218,2.395,0.1,5.654,0.53,1.275,15.891,62.577,216.068,25.188,0.988,1.453,0.448,200.714,2.483,1.502,22.003,1.422,144.886,39.079,0.077,0.162,5.357,0.41,15.471,10.16,3.156,0.835,0.228,0.358,7.058,70.496,,"{""oneMedium"":658.87,""serving"":658.87,""ml"":1.0}",1.0,35606017,63
